sample_id,fast5_archive,protocol,assembly,provider,upstream_file,downstream_file
SGNex_Hct116_cDNA_replicate4_run5,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_cDNA_replicate4_run5/SGNex_Hct116_cDNA_replicate4_run5.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directcDNA_replicate1_run4,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directcDNA_replicate1_run4/SGNex_Hct116_directcDNA_replicate1_run4.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directcDNA_replicate1_run5,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directcDNA_replicate1_run5/SGNex_Hct116_directcDNA_replicate1_run5.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directcDNA_replicate3_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directcDNA_replicate3_run2/SGNex_Hct116_directcDNA_replicate3_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directcDNA_replicate4_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directcDNA_replicate4_run1/SGNex_Hct116_directcDNA_replicate4_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directcDNA_replicate5_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directcDNA_replicate5_run1/SGNex_Hct116_directcDNA_replicate5_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate1_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate1_run1/SGNex_Hct116_directRNA_replicate1_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate1_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate1_run2/SGNex_Hct116_directRNA_replicate1_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate1_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate1_run3/SGNex_Hct116_directRNA_replicate1_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate2_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate2_run1/SGNex_Hct116_directRNA_replicate2_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate2_run2,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate2_run2/SGNex_Hct116_directRNA_replicate2_run2.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate2_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate2_run3/SGNex_Hct116_directRNA_replicate2_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate2_run4,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate2_run4/SGNex_Hct116_directRNA_replicate2_run4.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate2_run5,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate2_run5/SGNex_Hct116_directRNA_replicate2_run5.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate2_run6,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate2_run6/SGNex_Hct116_directRNA_replicate2_run6.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate3_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate3_run1/SGNex_Hct116_directRNA_replicate3_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate3_run4,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate3_run4/SGNex_Hct116_directRNA_replicate3_run4.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate4_run3,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate4_run3/SGNex_Hct116_directRNA_replicate4_run3.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hct116_directRNA_replicate6_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hct116_directRNA_replicate6_run1/SGNex_Hct116_directRNA_replicate6_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hek293T_directRNA_replicate1_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hek293T_directRNA_replicate1_run1/SGNex_Hek293T_directRNA_replicate1_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hek293T_directRNA_replicate2_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hek293T_directRNA_replicate2_run1/SGNex_Hek293T_directRNA_replicate2_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hek293T_directRNA_replicate3_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hek293T_directRNA_replicate3_run1/SGNex_Hek293T_directRNA_replicate3_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hek293T_directRNA_replicate4_run1,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hek293T_directRNA_replicate4_run1/SGNex_Hek293T_directRNA_replicate4_run1.tar.gz,Promethion,GRCh38.p14,Ensembl,,
SGNex_Hek293T_directRNA_replicate5_run1.pod5,http://sg-nex-data.s3.amazonaws.com/data/sequencing_data_ont/fast5/SGNex_Hek293T_directRNA_replicate5_run1/SGNex_Hek293T_directRNA_replicate5_run1.pod5,Promethion,GRCh38.p14,Ensembl,,
